Cena,Powierzchnia,Pokoje,Pietro,Rok_budowy,Miejsce_parkingowe,Stan,Link
459000,54.36,3,0,2026.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26603306.html"
479000,36.6,2,3,1970.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nowe-wykonczone/26691534.html"
585000,54.57,3,0,2025.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26574892.html"
549000,60.0,2,2,2007.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26688377.html"
849500,69.7,3,1,2019.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26623766.html"
619000,43.55,3,2,1900.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26394624.html"
598185,44.31,2,2,2025.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26676387.html"
489000,46.7,2,4,1964.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/25223820.html"
539000,53.0,3,0,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,zaleze-premium/25878959.html?2,mieszkanie"
585000,64.29,3,3,1998.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26691706.html"
869364,106.02,4,1,2024.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26581397.html"
550000,37.19,2,5,2025.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26550872.html"
549000,34.6,2,1,2007.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26521013.html"
525000,64.0,3,10,2015.5,1,0,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26684750.html"
629000,66.19,3,3,2011.0,1,0,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26682315.html"
785000,78.9,5,3,2011.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/25981791.html"
569000,58.0,3,0,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,nefrytowa-park/25880134.html?2,mieszkanie"
590000,63.2,3,4,2009.0,1,0,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26545567.html"
1067000,97.06,4,1,1930.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,nad-rzeka/26506900.html"
399000,32.0,2,10,1979.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26645778.html"
499000,42.0,2,4,1990.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26389714.html"
689000,62.0,3,1,2023.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26487096.html"
619000,90.0,4,1,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137671.html?2,mieszkanie"
599000,59.5,3,1,2007.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26386454.html"
319000,25.33,1,1,2024.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,przy-lesie/26387990.html"
569000,58.0,3,0,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,nefrytowa-park/25880480.html?2,mieszkanie"
635000,43.4,2,2,2020.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26583936.html"
520320,40.65,1,1,2021.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26629338.html"
499000,47.0,2,2,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,zaleze-premium/25878813.html?2,mieszkanie"
599000,94.4,4,1,2026.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/26617265.html"
569000,56.0,3,0,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,zaleze-premium/25878905.html?2,mieszkanie"
699000,44.0,2,12,2023.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26620950.html"
639000,87.0,4,1,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137642.html?2,mieszkanie"
589000,53.0,2,0,2010.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26382334.html"
999000,117.27,5,1,2019.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/26647794.html"
599000,51.0,3,4,1994.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26387920.html"
529000,38.0,2,4,2025.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26386456.html"
865000,144.0,3,0,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26134242.html?2,mieszkanie"
425500,46.25,3,2,2025.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26671469.html"
380000,31.6,1,3,1960.0,1,0,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/26623806.html"
472803,59.72,3,1,2025.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26186268.html"
565000,49.8,3,3,2015.0,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/26689729.html"
389000,28.0,2,11,1980.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26369985.html"
599000,94.4,4,1,2025.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/26530177.html"
569000,58.0,3,0,2015.5,0,0,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,nefrytowa-park/25880089.html?2,mieszkanie"
449000,37.4,2,0,2015.5,0,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26676825.html"
670000,55.21,3,2,2016.0,1,1,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26394821.html"
