Cena_surowa,Powierzchnia_surowa,Pokoje_surowe,Pietro_surowe,Rok_surowy,Parking_surowy,Stan_surowy,Link
379 000 zł,"36,00",2,3/3,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,atrium-house/26021015.html?2,mieszkanie"
425 500 zł,"46,25",3,2/2,2025,tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26671469.html"
689 000 zł,m²,3,1/1,blok mieszkalny;  2023,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26487096.html"
590 000 zł,"63,20",3,4/4,blok mieszkalny;  2009,parking publiczny / na ulicy,do remontu,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26545567.html"
598 185 zł,"44,31",2,2/17,2025,w garażu podziemnym,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26676387.html"
557 820 zł,"41,00",2,8/13,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,krakovska-etap-ii/25716428.html?2,mieszkanie"
785 000 zł,"78,90",5,3/4,blok mieszkalny;  2011,parking publiczny / na ulicy,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/25981791.html"
869 364 zł,"106,02",4,1/1,2024 (blok w nowym budownictwie),przynależne na terenie ogrodzonym,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26581397.html"
599 000 zł,"59,50",3,1/4,blok mieszkalny;  2007,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26386454.html"
399 000 zł,m²,2,10/11,blok mieszkalny;  1979,przynależne na ulicy,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26645778.html"
629 000 zł,"66,19",3,3/4,blok mieszkalny;  2011,w garażu podziemnym,do odświeżenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26682315.html"
565 000 zł,"49,80",3,3/3,2015,-,bardzo dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-oddzielna-kuchnia/26689729.html"
415 000 zł,"41,00",2,2/3,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,atrium-house/26021164.html?2,mieszkanie"
619 000 zł,"90,00",4,1/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26137671.html?2,mieszkanie"
589 000 zł,m²,2,parter/3,blok mieszkalny;  2010,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26382334.html"
491 026 zł,"41,00",2,4/13,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,krakovska-etap-ii/25716512.html?2,mieszkanie"
369 000 zł,"35,00",2,1/3,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,atrium-house/26021275.html?2,mieszkanie"
472 803 zł,"59,72",3,1/1,blok mieszkalny;  2025,przynależne na terenie ogrodzonym,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26186268.html"
599 000 zł,"94,40",4,1/1,2026 (blok w nowym budownictwie),tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,na-sprzedaz/26617265.html"
635 000 zł,"43,40",2,2/10,apartamentowiec;  2020,-,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26583936.html"
493 296 zł,"41,00",2,4/13,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,krakovska-etap-ii/25716513.html?2,mieszkanie"
865 000 zł,"144,00",3,parter/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26134242.html?2,mieszkanie"
599 000 zł,"94,40",4,1/2,2025,tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,nad-rzeka/26530177.html"
529 000 zł,m²,2,4/4,2025,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26386456.html"
549 000 zł,"34,60",2,1/3,blok mieszkalny;  2007,parking strzeżony w pobliżu,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26521013.html"
1 067 000 zł,"97,06",4,1/3,1930 (blok w starym budownictwie),tak,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m4,nad-rzeka/26506900.html"
585 000 zł,"64,29",3,3/3,blok mieszkalny;  1998,tak,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26691706.html"
449 000 zł,"37,40",2,parter/4,-,-,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/26676825.html"
865 000 zł,"144,00",3,parter/1,,,deweloperski,"https://rzeszow.nieruchomosci-online.pl/nowe-mieszkanie,rzeszowskie-katy/26134378.html?2,mieszkanie"
319 000 zł,"25,33",1,1/4,blok mieszkalny;  2024,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,przy-lesie/26387990.html"
380 000 zł,"31,60",1,3/4,blok mieszkalny;  1960,przynależne na ulicy,do odświeżenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,do-odswiezenia/26623806.html"
489 000 zł,"46,70",2,4/4,1964,tak,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m2,z-oddzielna-kuchnia/25223820.html"
499 000 zł,m²,2,4/4,blok mieszkalny;  1990,brak przynależnego miejsca parkingowego,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26389714.html"
619 000 zł,"43,55",3,2/3,kamienica;  1900,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26394624.html"
599 000 zł,m²,3,4/5,blok mieszkalny;  1994,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26387920.html"
459 000 zł,"54,36",3,parter/1,blok mieszkalny;  2026,przynależne na terenie ogrodzonym,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26603306.html"
389 000 zł,m²,2,11/11,blok mieszkalny;  1980,przynależne na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26369985.html"
670 000 zł,"55,21",3,2/5,2016,w garażu podziemnym,dobry,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26394821.html"
520 320 zł,"40,65",1,1/4,blok mieszkalny;  2021,garaż w bryle budynku,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26629338.html"
479 000 zł,"36,60",2,3/4,blok mieszkalny;  1970,-,nowe wykończone,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,nowe-wykonczone/26691534.html"
999 000 zł,"117,27",5,1/1,2019 (blok w nowym budownictwie),garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m5,z-aneksem-kuchennym/26647794.html"
585 000 zł,"54,57",3,parter/1,2025 (blok w nowym budownictwie),tak,do wykończenia,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,m3,z-aneksem-kuchennym/26574892.html"
525 000 zł,m²,3,10/11,-,przynależne na ulicy,do remontu,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26684750.html"
849 500 zł,"69,70",3,1/18,2019,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-bloku-mieszkalnym,wysoki-standard/26623766.html"
550 000 zł,"37,19",2,5/8,blok mieszkalny;  2025,garaż,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26550872.html"
549 000 zł,m²,2,2/2,blok mieszkalny;  2007,parking publiczny / na ulicy,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26688377.html"
699 000 zł,m²,2,12/13,apartamentowiec;  2023,-,wysoki standard,"https://rzeszow.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26620950.html"
